Category,Drift_Level,Prompt_ID,Base_Prompt_Num,Variant_Num,Prompt_CosSim,Mistral-7B-Instruct-v0.2_4bit_Resp_CosSim,Mistral-7B-Instruct-v0.2_8bit_Resp_CosSim,Mistral-7B-Instruct-v0.2_fp16_Resp_CosSim,Meta-Llama-3-8B-Instruct_4bit_Resp_CosSim,Meta-Llama-3-8B-Instruct_8bit_Resp_CosSim,Meta-Llama-3-8B-Instruct_fp16_Resp_CosSim,Phi-3-mini-4k-instruct_4bit_Resp_CosSim,Phi-3-mini-4k-instruct_8bit_Resp_CosSim,Phi-3-mini-4k-instruct_fp16_Resp_CosSim
qna,2,qna_L2_v1,8,1,90.46,94.97,95.37,96.39,92.34,89.58,87.51,80.02,85.46,79.27
qna,2,qna_L2_v2,8,2,99.65,94.3,96.42,95.91,92.26,97.2,99.31,81.88,87.51,86.82
qna,2,qna_L2_v3,8,3,88.73,85.94,96.8,94.67,93.38,91.73,89.39,79.3,87.33,78.99
qna,2,qna_L2_v1,9,1,93.46,86.67,84.47,86.33,95.33,95.53,97.46,85.15,83.46,80.24
qna,2,qna_L2_v2,9,2,99.54,86.23,84.7,88.11,96.14,97.15,96.59,87.06,80.62,83.64
qna,2,qna_L2_v3,9,3,99.54,85.78,87.57,87.19,93.46,96.15,96.59,75.3,83.93,83.64
qna,2,qna_L2_v1,10,1,80.59,84.73,61.82,65.35,90.15,90.45,91.77,67.96,79.57,69.22
qna,2,qna_L2_v2,10,2,96.9,87.25,91.28,91.02,90.96,91.52,94.51,82.74,83.83,90.68
qna,2,qna_L2_v3,10,3,93.13,87.73,86.53,83.66,90.53,89.71,93.25,84.73,77.75,79.21
qna,3,qna_L3_v1,1,1,95.29,94.53,93.55,97.05,95.21,93.19,96.33,88.04,75.17,89.29
qna,3,qna_L3_v2,1,2,95.39,94.64,94.51,97.41,96.39,94.74,97.51,84.01,80.38,88.7
qna,3,qna_L3_v3,1,3,97.33,96.07,94.12,98.14,91.07,93.42,92.62,85.54,72.92,84.78
qna,3,qna_L3_v1,2,1,92.96,96.03,96.33,96.83,95.91,92.27,94.13,83.95,84.15,92.11
qna,3,qna_L3_v2,2,2,87.49,96.43,95.81,93.01,92.14,88.21,87.22,84.04,83.1,82.04
qna,3,qna_L3_v3,2,3,91.14,95.02,96.08,96.35,95.1,95.03,92.95,84.24,80.06,84.9
qna,3,qna_L3_v1,3,1,91.72,93.8,91.74,94.13,95.49,94.42,94.94,82.3,90.79,88.09
qna,3,qna_L3_v2,3,2,93.83,87.54,87.1,84.39,94.63,94.59,95.05,87.11,92.36,86.04
qna,3,qna_L3_v3,3,3,85.58,92.77,93.41,96.47,94.26,91.66,95.19,82.52,89.49,79.26
qna,3,qna_L3_v1,4,1,98.49,96.15,95.11,95.55,92.44,97.14,95.24,90.93,91.28,84.62
qna,3,qna_L3_v2,4,2,92.97,94.84,95.51,96.66,92.32,96.6,96.7,85.8,84.72,91.48
qna,3,qna_L3_v3,4,3,95.45,94.87,95.69,95.14,94.59,96.74,96.8,90.94,85.61,78.17
qna,3,qna_L3_v1,5,1,82.84,95.8,94.13,92.27,98.29,96.08,97.65,89.05,87.6,85.7
qna,3,qna_L3_v2,5,2,93.8,95.12,89.97,93.88,97.38,97.44,99.8,87.65,87.91,81.62
qna,3,qna_L3_v3,5,3,68.6,80.49,85.85,83.4,92.59,94,92.24,67.79,67.39,63.48
qna,3,qna_L3_v1,6,1,98.65,96.8,91.55,93.5,97.15,95.42,96.59,87.3,87.97,90.88
qna,3,qna_L3_v2,6,2,81.33,89.08,88.2,79.86,88.95,83.16,85.62,69.69,77.14,68.71
qna,3,qna_L3_v3,6,3,68.72,57.43,58.19,60.52,65.98,64.11,71.23,74.55,75.68,73.14
qna,3,qna_L3_v1,7,1,88.46,90.83,94.38,91.71,90.77,94.05,89.98,76.85,79.61,77.62
qna,3,qna_L3_v2,7,2,96.49,80.58,80.59,86.18,81.37,76.38,79.99,82.29,77.53,74.9
qna,3,qna_L3_v3,7,3,95.11,87.28,82.47,88.76,96.27,92.45,97.42,81.8,77.9,70.3
qna,3,qna_L3_v1,8,1,74.12,88.75,89.73,91.56,93.25,88.79,88.82,83.95,69.05,62.47
qna,3,qna_L3_v2,8,2,79.95,93.41,83.66,88.72,93.57,88.45,82.64,76.77,86.2,83.9
qna,3,qna_L3_v3,8,3,93.13,91.66,96.06,92.11,87.15,91,90.69,83.04,80.63,66.48
qna,3,qna_L3_v1,9,1,88.45,89.09,87.1,86.37,95.47,96.14,96.82,90.16,86.33,79.52
qna,3,qna_L3_v2,9,2,99.54,88.3,85.91,87.84,96.83,97.69,96.59,85.46,84.49,83.64
qna,3,qna_L3_v3,9,3,99.06,85.96,94.28,88.93,95.65,95.02,97.02,84.65,72.17,85.49
qna,3,qna_L3_v1,10,1,85,91.21,82.91,87.85,81.02,79.79,81.85,75.01,67.08,76.54
qna,3,qna_L3_v2,10,2,78.16,94.25,94.41,88.44,89.89,89.04,92.47,77.89,85.48,89.14
qna,3,qna_L3_v3,10,3,88.83,73.16,76.13,84.74,88.78,85.47,86.98,74.02,67.69,61.51
qna,4,qna_L4_v1,1,1,88.14,94.69,93.53,95.73,92.96,91.01,93.14,88.56,70.64,90.75
qna,4,qna_L4_v2,1,2,91.09,92.7,93.47,94.65,90.28,91.24,93.48,86.7,74.69,80.8
qna,4,qna_L4_v3,1,3,78.53,91.63,88.57,85.49,92.79,94.75,95.84,79.76,70.36,85.84
qna,4,qna_L4_v1,2,1,86.16,94.2,95.19,95.48,95.96,86.84,87.93,84.43,80.02,83.73
qna,4,qna_L4_v2,2,2,96.8,96.84,97.17,98.63,97,93.77,94.36,87.74,88.19,92.73
qna,4,qna_L4_v3,2,3,79.35,95.85,92.57,89.99,91.28,91.79,92.42,80.88,79.39,86.32
qna,4,qna_L4_v1,3,1,80.12,94.85,94.31,88.7,86.92,86.39,88.6,84.24,90.42,83.3
qna,4,qna_L4_v2,3,2,76.39,79.13,86.68,76.79,71.37,71.68,80.05,83.34,85.59,82.19
qna,4,qna_L4_v3,3,3,72.92,75.2,85.67,68.46,86.11,78.97,82.8,72.72,82.24,77.76
qna,4,qna_L4_v1,4,1,69.98,73.84,66.8,71.34,70.49,69.68,79.24,79.6,82.11,80.73
qna,4,qna_L4_v2,4,2,85.56,94.03,94.8,94.14,96.17,91.01,92.3,91.65,90.25,88.8
qna,4,qna_L4_v3,4,3,85.42,94.17,94.58,96.73,95.65,91.21,96.57,86.3,90.4,88.26
qna,4,qna_L4_v1,5,1,81,95.44,93.16,94.38,97.87,96.51,94.55,90.86,85.95,85.54
qna,4,qna_L4_v2,5,2,62.25,89.2,94.12,96.07,97.78,95.8,97.46,60.73,62.81,57.52
qna,4,qna_L4_v3,5,3,91.64,93.73,92.84,92.05,97.53,97.89,98.27,89.35,90.23,87.9
qna,4,qna_L4_v1,6,1,96.88,96.01,92.84,95.57,97.54,94.99,96.19,88.15,87.89,92.98
qna,4,qna_L4_v2,6,2,99.15,91.72,91.89,89.74,96.93,95.66,96.11,87,89.78,88.73
qna,4,qna_L4_v3,6,3,66.08,70.13,62.95,70.67,70.14,69.05,58.85,77.48,67.21,72.5
qna,4,qna_L4_v1,7,1,53.36,62,66.62,67.31,73.15,72.76,55.04,68.95,57.79,58.95
qna,4,qna_L4_v2,7,2,92.98,90.53,90.95,88.8,89.77,89.73,93.09,83.96,86.13,76.66
qna,4,qna_L4_v3,7,3,91.67,91.63,93.39,92.01,89.87,83.07,95.18,82.07,90.92,76.41
qna,4,qna_L4_v1,8,1,72.74,67.31,86.5,80.05,78.36,69.49,65.6,85.32,76.77,74.74
qna,4,qna_L4_v2,8,2,78.03,83.64,78.86,83.45,85.85,76.66,84.65,79.21,89.8,83.8
qna,4,qna_L4_v3,8,3,93.06,90.52,92,92.09,88.74,90.16,84.86,81.58,89.62,82.95
qna,4,qna_L4_v1,9,1,80.55,93.22,89.29,88.91,95.66,96.89,95.67,84.01,78.64,80.74
qna,4,qna_L4_v2,9,2,90.34,80.83,86.54,82.11,94.24,96.31,97.49,87.27,83.78,78.34
qna,4,qna_L4_v3,9,3,80.37,76.43,71.8,76.3,88.66,85.12,88.56,73.06,76.96,74.25
qna,4,qna_L4_v1,10,1,89.22,86.52,92.51,90.62,91.53,90.31,95.5,63.32,79.64,83.3
qna,4,qna_L4_v2,10,2,83.1,68.78,62.53,66.03,85.09,89.96,73.3,78.64,84.37,88.05
qna,4,qna_L4_v3,10,3,85.98,92.96,77.2,80.03,91,90.21,91.81,77.68,82.3,80.06
qna,5,qna_L5_v1,1,1,80.61,85.49,89.62,92.36,88.05,89.87,92.74,83.76,78.22,87.38
qna,5,qna_L5_v2,1,2,83.99,85.41,88.73,92.39,91.22,91.4,91.29,81.11,68.63,82.29
qna,5,qna_L5_v3,1,3,79.25,87.82,91.56,92.18,85.2,90.89,88.56,75.07,68.49,80
qna,5,qna_L5_v1,2,1,71.69,94.51,96.99,96.58,93.87,91.6,94.1,87.82,82.41,89.79
qna,5,qna_L5_v2,2,2,78.85,87.44,88.48,91.45,92.11,91.81,92.45,81.19,83.21,81.84
qna,5,qna_L5_v3,2,3,73.11,66.71,72.59,75.99,68.45,68.42,71.74,67.9,57,63.44
qna,5,qna_L5_v1,3,1,89.47,80.41,80.17,85.19,81.8,89.71,94.3,82.33,81.61,80.86
qna,5,qna_L5_v2,3,2,78.66,74.66,70.16,64.3,72.44,83.83,85.13,73.7,75.4,79.1
qna,5,qna_L5_v3,3,3,85.21,81.07,86.52,83.74,88.79,86.79,89.46,80.65,83.74,85.86
qna,5,qna_L5_v1,4,1,69.32,78.34,87.81,79.86,94.6,82.9,86.94,91.14,86.77,89.87
qna,5,qna_L5_v2,4,2,77.95,84.09,85.14,86.23,93.28,91.51,91.08,81.52,85.71,86.2
qna,5,qna_L5_v3,4,3,77.82,83.81,87.13,87.71,91.65,93.69,93.66,91.94,84.69,83.7
qna,5,qna_L5_v1,5,1,69.76,87.34,87.6,87.51,91.91,93.31,91.21,84.85,81,82.39
qna,5,qna_L5_v2,5,2,68.09,84.59,86.14,86.62,88.43,93.77,94.36,80.43,86.68,76.44
qna,5,qna_L5_v3,5,3,80.78,90.87,82,92.09,89.91,91.8,90.97,88.65,86.38,84.86
qna,5,qna_L5_v1,6,1,72.05,76.76,85.98,81.73,79.87,77.25,75.64,79,84.22,85.46
qna,5,qna_L5_v2,6,2,85.48,89.88,90.79,82.12,91.88,93.55,93.23,92.41,90.41,88.39
qna,5,qna_L5_v3,6,3,86.65,92.19,93.78,92.03,90.95,90.97,92.19,80.39,85.86,84.29
qna,5,qna_L5_v1,7,1,78.71,79.73,82.27,81.65,89.71,84.22,85.91,76.05,74.22,75.4
qna,5,qna_L5_v2,7,2,60.44,71.65,73.89,79.19,80.06,80.46,83.19,78.49,76.82,65.99
qna,5,qna_L5_v3,7,3,80.54,80.86,70.85,88.37,92.54,87.83,85.24,78.23,88.07,67.68
qna,5,qna_L5_v1,8,1,71.5,91.65,90.45,90.51,79.19,72.07,74.9,78.08,84.9,70.8
qna,5,qna_L5_v2,8,2,77.76,85.53,78.4,89.84,88.46,86.53,86.12,79.16,70.34,76.09
qna,5,qna_L5_v3,8,3,71.69,70.59,68.93,83.75,88.41,80.25,81.97,72.08,81.17,73.27
qna,5,qna_L5_v1,9,1,66.3,71.57,73.9,77.13,75.69,77.69,63.79,74.68,69.07,65.13
qna,5,qna_L5_v2,9,2,67.35,78.2,77.58,74.99,78.95,75.48,75.74,73.89,67.98,69.08
qna,5,qna_L5_v3,9,3,56.81,49.06,52.17,52.98,47.98,53.07,57.49,61.9,69.59,62.53
qna,5,qna_L5_v1,10,1,61.11,53.35,59.2,57.65,48.56,56.18,57.96,64.78,57.47,50.74
qna,5,qna_L5_v2,10,2,78.57,94.38,94.61,86.74,85.16,86.11,86.65,83.57,79.6,88.42
qna,5,qna_L5_v3,10,3,80.57,88.2,92.12,86.66,90.2,88.38,90.6,87.19,85.96,76.01
reasoning,1,reasoning_L1_v1,1,1,99.52,84.69,85.08,91.86,89.84,90.21,96.94,82.78,90.21,81.98
reasoning,1,reasoning_L1_v2,1,2,95.55,94.78,87.54,90.59,84.82,93.72,93.92,82.9,88.9,79.6
reasoning,1,reasoning_L1_v3,1,3,97.97,95.5,90.6,92,82.2,86.65,84.73,86.05,87.55,80.51
reasoning,1,reasoning_L1_v1,2,1,95.28,94.29,92.63,91.44,87.47,95.71,95.17,91,86.23,89.97
reasoning,1,reasoning_L1_v2,2,2,90.21,95.19,90.88,86.89,94.73,94.44,95.4,84.03,83.93,85.9
reasoning,1,reasoning_L1_v3,2,3,90.74,91.54,94.96,83.87,90.95,93.71,94.08,83.32,87.65,83.92
reasoning,1,reasoning_L1_v1,3,1,97.55,93.08,93.68,92.82,94.03,94.94,95.05,90.61,87.97,92.7
reasoning,1,reasoning_L1_v2,3,2,100,93.54,97.27,90.95,94.07,93.27,100,94.12,86.83,100
reasoning,1,reasoning_L1_v3,3,3,100,95.18,97.59,94.03,94.99,89.22,100,95.74,81.49,100
reasoning,1,reasoning_L1_v1,4,1,99.85,93.87,95.71,92.11,93.15,93.3,97.78,85.91,83.42,81.1
reasoning,1,reasoning_L1_v2,4,2,86.51,90.81,91.49,89.94,88.96,90.29,91.45,81.7,73.21,80
reasoning,1,reasoning_L1_v3,4,3,99.22,92.7,94.88,91.13,86,92.1,89.24,83.13,82.55,88.01
reasoning,1,reasoning_L1_v1,5,1,98.14,91.98,93.98,93.47,95.96,93.89,98.42,85.33,87.84,86.28
reasoning,1,reasoning_L1_v2,5,2,96.29,94.51,95.11,92.61,96.04,94.19,97.74,85.58,89.97,84.36
reasoning,1,reasoning_L1_v3,5,3,94.54,93.57,96.55,93.67,90.57,95.07,95.93,87.41,90.38,84.39
reasoning,1,reasoning_L1_v1,6,1,100,95.39,93.52,92.89,92.97,93.09,100,82.78,88.49,100
reasoning,1,reasoning_L1_v2,6,2,88.75,95.05,92.02,92.86,94.14,95.94,99.3,85.76,86.66,91.32
reasoning,1,reasoning_L1_v3,6,3,87.49,91.86,95.42,93.45,93.2,92.19,95.3,89.49,88.51,89.68
reasoning,1,reasoning_L1_v1,7,1,96.06,95.6,95.77,94.8,94.11,95.8,95.68,83.52,88.03,80.83
reasoning,1,reasoning_L1_v2,7,2,97.67,92.69,91.5,96.22,94.58,95.07,98.09,83.84,85.14,80.89
reasoning,1,reasoning_L1_v3,7,3,100,95.52,94.74,96.33,95.99,94.45,100,88.2,88.93,100
reasoning,1,reasoning_L1_v1,8,1,96.83,92.77,89.34,88.25,92.43,93.94,96.19,88.94,89.99,92.85
reasoning,1,reasoning_L1_v2,8,2,96.58,90.56,93.29,91.89,93.13,94.42,95.48,91.07,89.93,93.68
reasoning,1,reasoning_L1_v3,8,3,95.48,94.21,92.29,91.65,91.84,90.86,88.18,86.79,91.37,83.61
reasoning,1,reasoning_L1_v1,9,1,96.77,90.34,82.97,84.78,87.87,83.77,81.02,92.9,88.06,83.91
reasoning,1,reasoning_L1_v2,9,2,98.66,94.1,94.45,95.71,95.65,95.61,94.54,87.12,90.06,90.94
reasoning,1,reasoning_L1_v3,9,3,98.76,90.55,91.55,91.11,90.86,94.53,89.76,84.21,89.89,91.37
reasoning,1,reasoning_L1_v1,10,1,100,97.05,87.62,95.06,94.84,90.51,100,88.18,92.76,100
reasoning,1,reasoning_L1_v2,10,2,94.85,93.59,85.82,94.5,90.36,88.59,94.85,87.68,80.8,86.58
reasoning,1,reasoning_L1_v3,10,3,97.58,96.31,89.99,95.59,89.44,93.18,95.16,91.11,88.03,92.83
reasoning,2,reasoning_L2_v1,1,1,94.54,90.57,87.58,90.51,83.86,90.02,98.47,84.64,88.64,80.44
reasoning,2,reasoning_L2_v2,1,2,93.63,83.73,87.16,87.39,94.49,94.68,89.67,88,88.57,79.67
reasoning,2,reasoning_L2_v3,1,3,97.09,89.57,86.25,88.24,93.85,90.19,89.79,88.09,87.44,74.28
reasoning,2,reasoning_L2_v1,2,1,89.97,89.22,92.23,94.92,88.01,96.77,96.05,88.29,81.32,89.44
reasoning,2,reasoning_L2_v2,2,2,95.4,91.42,95.59,91.7,97.21,94.64,92.9,83.83,84.35,82.07
reasoning,2,reasoning_L2_v3,2,3,92.5,88.24,92.56,92.15,93.31,95.4,95.71,85.9,90.12,90.73
reasoning,2,reasoning_L2_v1,3,1,96.46,93.85,96.13,92.15,91.83,91.89,93.81,86.27,81.28,91.65
reasoning,2,reasoning_L2_v2,3,2,95.27,93.44,91.45,91.35,93.26,90.89,94.01,84.12,84.08,93.11
reasoning,2,reasoning_L2_v3,3,3,95.36,92.95,93.18,92.23,94.6,91.52,93.85,89.66,86.13,94.73
reasoning,2,reasoning_L2_v1,4,1,97.77,90.21,96.34,94.63,88.85,89.42,89.95,88.18,82.63,83.64
reasoning,2,reasoning_L2_v2,4,2,91.32,90.2,90.68,92.91,89.33,87.32,90.3,87.48,83.81,79.01
reasoning,2,reasoning_L2_v3,4,3,95.98,94.68,93.49,93.84,88.69,89.37,85.58,88.28,84.51,83.29
reasoning,2,reasoning_L2_v1,5,1,91.7,92.02,95.38,91.42,94.27,93.2,95.35,85.83,90.2,87
reasoning,2,reasoning_L2_v2,5,2,94.97,94.21,93.99,91.29,95,94.9,93.9,89,83.42,86.49
reasoning,2,reasoning_L2_v3,5,3,98.41,95.54,94.4,91.54,91.5,93.01,92.21,84.36,88.05,83.87
reasoning,2,reasoning_L2_v1,6,1,91.7,94.47,94.17,94.62,95.47,93.37,93.49,80.54,86.97,81.52
reasoning,2,reasoning_L2_v2,6,2,87.8,96.31,96.66,95.43,93.56,93.34,95.52,81.67,86.02,87.85
reasoning,2,reasoning_L2_v3,6,3,86.15,95.84,91.72,93.18,93.89,93.02,93.5,80.99,87.94,90.85
reasoning,2,reasoning_L2_v1,7,1,95.91,97.2,96.4,95.9,92.93,94.44,94.93,84.67,85.06,80.34
reasoning,2,reasoning_L2_v2,7,2,97.68,97.58,97.13,96.76,92.57,91.87,94.81,91.27,84.79,81.91
reasoning,2,reasoning_L2_v3,7,3,95.49,97.97,97.24,96.62,89.49,93.25,91.68,86.62,86.44,80.12
reasoning,2,reasoning_L2_v1,8,1,98.27,95.23,96.02,93.65,92.05,93.56,96.26,82.58,90.85,87.82
reasoning,2,reasoning_L2_v2,8,2,98.36,93.66,94.75,89.68,96.21,92.57,93.57,89.82,91.6,82.78
reasoning,2,reasoning_L2_v3,8,3,97.71,93.37,94.69,95.4,94.41,94,87.33,88.45,90.12,80.96
reasoning,2,reasoning_L2_v1,9,1,99.44,85.39,87.91,90.46,94.96,93.29,91.28,87.35,91.03,91.19
reasoning,2,reasoning_L2_v2,9,2,92.35,86.16,91.02,88.98,90.2,92.72,88.31,85.55,85.63,86.77
reasoning,2,reasoning_L2_v3,9,3,94.33,91.05,89.69,90.08,93.78,93.16,92.67,91.4,91.78,82.93
reasoning,2,reasoning_L2_v1,10,1,98.25,89.75,91.6,89.64,94.51,92.45,96.29,88.08,85.12,92.68
reasoning,2,reasoning_L2_v2,10,2,96.62,94.26,89.34,95.33,90.22,92.92,95.07,68.6,84.57,86.69
reasoning,2,reasoning_L2_v3,10,3,92.47,90.83,81.62,91.4,92.48,91.63,95.86,93.26,88.36,83.9
reasoning,3,reasoning_L3_v1,1,1,92.65,86.81,88.81,84.44,91.92,87.65,90.03,86.44,84.77,78.72
reasoning,3,reasoning_L3_v2,1,2,95.64,89.4,88.37,91.59,94.81,80.79,92.24,84.12,77.57,84.58
reasoning,3,reasoning_L3_v3,1,3,93.08,88.43,89.83,87.86,83.56,89.39,82,84.52,86.16,80.45
reasoning,3,reasoning_L3_v1,2,1,89.64,93.05,91.46,87.88,93.01,95.03,93.1,84.08,86.94,83.95
reasoning,3,reasoning_L3_v2,2,2,98.63,93.08,94.43,91.81,92.4,94.03,95.06,90.2,86.13,91.48
reasoning,3,reasoning_L3_v3,2,3,85.81,94.02,90.14,86.64,92.4,91.6,89.97,81.42,79.58,85.6
reasoning,3,reasoning_L3_v1,3,1,88.71,94.76,92.31,91.65,93.64,92.31,96.88,90.24,85.12,90.13
reasoning,3,reasoning_L3_v2,3,2,82.42,95.54,96.42,95.06,92.5,90.5,93.2,91.73,86.92,91.26
reasoning,3,reasoning_L3_v3,3,3,95.4,96.76,94.38,95,94.6,95.08,94.9,88.47,83.93,91.09
reasoning,3,reasoning_L3_v1,4,1,79.62,91.44,89.98,89.09,89.96,89.01,86.35,87.27,87.53,79.22
reasoning,3,reasoning_L3_v2,4,2,89.86,91.64,95.59,93.58,88.11,93.98,95.61,83.02,84.63,82.78
reasoning,3,reasoning_L3_v3,4,3,91.84,91.15,92.22,90.61,93.71,87.94,93.1,79.57,85.52,81.68
reasoning,3,reasoning_L3_v1,5,1,88.96,88.63,95.98,92.74,96.75,93.34,96.48,85.84,91.44,84.39
reasoning,3,reasoning_L3_v2,5,2,91.43,94.16,95.88,90.2,95.65,94.02,95.76,82.17,88.6,81.4
reasoning,3,reasoning_L3_v3,5,3,97.22,93.65,95.59,91.19,95.2,93.62,94.01,84.77,87.24,84.35
reasoning,3,reasoning_L3_v1,6,1,64.13,91.45,93.2,91.88,93.11,87.16,95.07,82.21,86.93,86.96
reasoning,3,reasoning_L3_v2,6,2,89.43,96.68,93.42,93.48,94.57,94.05,95.79,82.1,90.33,88.35
reasoning,3,reasoning_L3_v3,6,3,79.23,92.64,91.44,93.81,90.87,88.57,85.11,81.91,87.61,88.7
reasoning,3,reasoning_L3_v1,7,1,91.49,95.87,95.18,95.59,94.29,92.67,97.23,82.59,88.54,74.04
reasoning,3,reasoning_L3_v2,7,2,94.54,94.59,95.46,96.13,93.19,93.86,95.32,81.93,87.3,84.37
reasoning,3,reasoning_L3_v3,7,3,97.94,97.39,96.65,97.67,91.61,93.55,95.23,84.58,90.73,86.23
reasoning,3,reasoning_L3_v1,8,1,92.69,92.75,91.17,91.59,91.96,92.03,93.07,80.57,78.49,83.65
reasoning,3,reasoning_L3_v2,8,2,91.38,92.44,95.91,89.89,94.75,92.02,96.04,89.2,90.89,87.85
reasoning,3,reasoning_L3_v3,8,3,88.79,91.8,90.56,88.24,91.08,92.77,95.21,86.03,85.9,82.28
reasoning,3,reasoning_L3_v1,9,1,79.88,85.03,88.51,89.42,92.56,91.36,87.03,79.58,82.66,75.63
reasoning,3,reasoning_L3_v2,9,2,91.87,88.72,88.26,86.93,93.94,87,87.97,76.96,76.2,71.31
reasoning,3,reasoning_L3_v3,9,3,92.62,92.93,92.33,91.98,91.71,85.73,94.98,80.64,78.35,84.6
reasoning,3,reasoning_L3_v1,10,1,79.73,90.98,88.58,92.59,89.55,91.38,96.16,89.5,88.53,85.69
reasoning,3,reasoning_L3_v2,10,2,89.41,89.38,93.47,93.4,83.33,90.98,90.34,89.96,88.95,85.79
reasoning,3,reasoning_L3_v3,10,3,92.53,90.82,90.34,94.32,88.46,87.37,90.73,78.44,83.37,77.43
reasoning,4,reasoning_L4_v1,1,1,80.94,85.62,89.71,91.23,93.01,88.67,93.2,86.72,86.78,78.01
reasoning,4,reasoning_L4_v2,1,2,85.56,86.06,87.5,85.84,82.32,90,87.99,87.78,84.81,81.34
reasoning,4,reasoning_L4_v3,1,3,86.62,87.31,91.75,90.61,86.97,88.03,88.68,87.32,91.13,81
reasoning,4,reasoning_L4_v1,2,1,89.22,93.56,85.47,87.69,93.15,92.73,93.21,84.73,87.26,88.81
reasoning,4,reasoning_L4_v2,2,2,77.06,92.92,90.36,89.66,94.46,94.66,90.79,86.91,80.92,90.08
reasoning,4,reasoning_L4_v3,2,3,88.01,91.58,88.02,89.29,93.25,95.53,93.53,87.63,83.15,88.3
reasoning,4,reasoning_L4_v1,3,1,84.65,91,92.23,89.57,92.8,91.86,94.08,85.88,88.67,89.71
reasoning,4,reasoning_L4_v2,3,2,85.93,92.18,92.07,92.02,89.5,89.27,91.85,90.72,78.83,87.84
reasoning,4,reasoning_L4_v3,3,3,91.51,93.27,94.81,93.6,93.88,92.63,93.9,92.73,87.04,90.64
reasoning,4,reasoning_L4_v1,4,1,86.22,89.76,89.19,88.3,92.88,88.46,94.54,84.82,79.88,80.32
reasoning,4,reasoning_L4_v2,4,2,90.42,92.7,87.01,88.7,91.28,91.91,86.81,83.07,82.43,79.6
reasoning,4,reasoning_L4_v3,4,3,86.27,91.09,95.38,92.58,83.89,90.76,84.87,86.07,84.98,79.43
reasoning,4,reasoning_L4_v1,5,1,89.47,92.23,94.67,92.14,95.58,94.01,94.25,83.72,75.73,75.63
reasoning,4,reasoning_L4_v2,5,2,92.64,90.06,97.34,91.75,94.43,94.66,98.16,85.36,85.26,89.79
reasoning,4,reasoning_L4_v3,5,3,75.72,92.21,94.03,89.78,89.49,93.31,93.36,86.48,88.9,82.04
reasoning,4,reasoning_L4_v1,6,1,82.88,93.59,94.02,93.09,91.29,87.34,89.38,77.04,87.76,90.19
reasoning,4,reasoning_L4_v2,6,2,77.71,97.25,95,93.6,92.91,92.14,88.45,83.66,82.13,88.74
reasoning,4,reasoning_L4_v3,6,3,86.79,97.11,94.34,94.64,92.86,94.16,93.26,78.08,88.27,85.54
reasoning,4,reasoning_L4_v1,7,1,94.63,97.38,94.81,95.48,94.03,94.53,94.57,82.98,86.97,83.22
reasoning,4,reasoning_L4_v2,7,2,90.6,93.61,92.29,96.59,89.39,95.37,93.61,85.97,91.41,82.1
reasoning,4,reasoning_L4_v3,7,3,96.38,95.39,98.13,97.2,92.85,96.29,93.65,83.23,88.44,84.47
reasoning,4,reasoning_L4_v1,8,1,78.53,92.08,88.05,85.26,92.41,89.63,89.12,84.72,81.47,83.08
reasoning,4,reasoning_L4_v2,8,2,90.04,95.14,93.81,88.79,96.32,88.96,92.43,83.02,85.38,87.43
reasoning,4,reasoning_L4_v3,8,3,69.23,82.78,87.61,77.24,78.91,70.56,80.86,75.87,76.63,75.03
reasoning,4,reasoning_L4_v1,9,1,85.38,83.32,85.39,95.18,86.67,92.34,91.7,91.37,88.19,68.82
reasoning,4,reasoning_L4_v2,9,2,85.47,86.97,90.68,89.91,91.52,88.78,90.37,78.23,75.51,78.28
reasoning,4,reasoning_L4_v3,9,3,94.65,88.79,85.38,87.35,95,93.15,93.74,90.83,87.04,80.98
reasoning,4,reasoning_L4_v1,10,1,90.17,94.29,90.75,93.82,90.42,90.68,93.67,87.18,89.81,85.9
reasoning,4,reasoning_L4_v2,10,2,84.82,84.26,92.63,88.25,92.26,89.01,92.93,89.6,81.02,88.91
reasoning,4,reasoning_L4_v3,10,3,86.27,93.24,85.61,88.95,84.71,87.78,90.25,87.77,87.18,86.47
reasoning,5,reasoning_L5_v1,1,1,79.57,78.19,85.4,82.17,77.85,77.39,81.93,86.08,86.41,78.1
reasoning,5,reasoning_L5_v2,1,2,72.74,59.93,76.47,70.01,84.72,78.47,81.73,73.73,76.75,66.78
reasoning,5,reasoning_L5_v3,1,3,80.74,73.64,73.94,82.06,79.11,83.18,80.33,88.75,85.89,82.79
reasoning,5,reasoning_L5_v1,2,1,86.83,95.74,89.24,85.52,91.99,95.14,94.02,85.88,86.02,86.51
reasoning,5,reasoning_L5_v2,2,2,83.23,92.83,91.1,88.83,87.08,92.31,89.38,85.81,82.19,84.03
reasoning,5,reasoning_L5_v3,2,3,79.07,90.5,90.13,85.43,87.45,89.7,84.67,83.12,79.48,84.48
reasoning,5,reasoning_L5_v1,3,1,86.28,90.37,89.85,90.47,91.32,87.57,93.52,90.57,79.02,84.91
reasoning,5,reasoning_L5_v2,3,2,64.79,88.25,82.69,86.78,88.94,82.18,84.13,86.44,80.35,79.94
reasoning,5,reasoning_L5_v3,3,3,72.98,84.15,82.21,86.8,87.52,82.34,83.54,83.76,83.33,83.7
